team,priority,total_credit,remaining_credit,budget_use_percent,ace_candidate_1,ace_candidate_2,flat,hill,mountain,tt,pave,card_flat,card_hill,card_mountain,card_tt,card_pave,wins,podiums,average_place,missing_role_groups
Team 01,平坦,39850,150,99.6,Mads Pedersen,Ilan Van Wilder,90.43,87.53,89.08,91.79,84.76,10.558,9.028,10.756,11.656,6.364,240,511,5.13,none
Team 02,丘陵,39850,150,99.6,Tadej Pogacar,Floris Van Tricht,86.64,85.8,85.41,90.83,83.34,10.321,8.245,8.439,11.23,6.32,104,290,7.5,1
Team 03,山岳,40000,0,100,Primoz Roglic,Gleb Syritsa,83.43,83.85,91.12,86.62,82.44,9.035,8.518,11.56,9.966,8.49,84,227,9.2,none
Team 04,TT,39750,250,99.4,Wout van Aert,Ben O'Connor,86.06,82.63,84.39,87.07,88.49,9.399,7.712,9.981,9.57,10.956,45,204,8.52,3
Team 05,石畳,39850,150,99.6,Mathieu van der Poel,Joshua Giddings,88.12,82.6,83.21,89.31,92.75,9.362,5.819,7.893,10.61,11.74,192,356,7.36,none
Team 06,平坦,40000,0,100,Jasper Philipsen,Clément Russo,88.69,80.43,82.38,88.83,83,11.022,6.76,8.1,11.371,8.957,45,146,10.43,none
Team 07,丘陵,40000,0,100,Remco Evenepoel,Filippo Fiorelli,83.12,80.18,87.96,87.55,81.86,10.481,7.083,11.154,10.352,9.68,35,121,10.91,2 / 3
Team 08,山岳,40000,0,100,Jonas Vingegaard,Lorenzo Rota,79.4,80.71,87.59,84.32,81.64,9.438,8.057,11.132,10.431,10.153,11,64,13.04,3
Team 09,TT,40000,0,100,Filippo Ganna,Edward Planckaert,86.19,79.84,82.07,90.55,84.33,10.606,6.846,8.062,11.533,8.376,44,145,10.36,none
Team 10,石畳,39850,150,99.6,Alberto Bettiol,Callum Scotson,86.33,82.51,84.39,87.7,88.64,9.492,6.998,9.998,10.343,11.322,46,202,8.47,none
Team 11,平坦,39900,100,99.8,Tim Merlier,Léo Bisiaux,87.22,78.78,81.83,87.99,84.86,10.575,6.471,8.034,11.517,9.827,29,110,11.15,none
Team 12,丘陵,39900,100,99.8,Julian Alaphilippe,Jorge Arcas,80.7,83.13,83.48,83.73,79.12,8.987,9.163,10.931,10.394,8.407,12,39,13.85,3
Team 13,山岳,40000,0,100,Paul Seixas,Amanuel Ghebreigzabhier,84.88,82.64,88.9,87.09,84.43,8.962,8.564,11.519,9.955,8.973,37,150,8.98,none
Team 14,TT,39950,50,99.9,Juan Ayuso,Jonas Abrahamsen,84.64,80.88,85.52,86.89,81.36,10.418,8.583,10.733,10.801,8.382,14,70,11.23,3
Team 15,石畳,39950,50,99.9,Jonathan Milan,Brandon Rivera,83.23,78.54,82.98,84.58,82.39,9.086,8.409,10.005,9.677,10.434,2,22,13.55,3
Team 16,平坦,40000,0,100,Olav Kooij,Stefan Bissegger,83.64,80.01,79.66,85.33,81.99,9.012,8.151,8.67,10.495,9.226,2,34,13.67,3
Team 17,丘陵,39900,100,99.8,Arnaud De Lie,Michał Kwiatkowski,83.32,84.81,84.44,85.61,85.04,8.176,9.111,11.099,9.049,8.836,31,138,10.29,none
Team 18,山岳,39900,100,99.8,Egan Bernal,Filippo Conca,83.25,78.09,84.77,86.82,79.88,9.966,6.845,10.874,11.258,6.905,5,49,13.15,3
Team 19,TT,39850,150,99.6,Isaac del Toro,Sepp Kuss,83.71,79.99,85.55,86.04,82.8,9.819,7.671,10.119,11.476,10.151,12,60,11.67,none
Team 20,石畳,39750,250,99.4,Biniam Girmay,Iván García Cortina,84.7,79.93,82.31,85.5,85.22,8.798,7.511,8.688,10.155,10.535,10,62,11.53,none
