place,rider,team,gapSeconds,gap,gcPlace,birthDate
1,Paul Seixas,Team 13,0,0:00,5,2006-09-24
2,Juan Ayuso,Team 14,743,+12:23,7,2002-09-16
3,Isaac del Toro,Team 19,879,+14:39,9,2003-11-27
4,Matthew Riccitello,Team 20,1043,+17:23,11,2002-03-05
5,Alastair Mackellar,Team 18,1396,+23:16,17,2002-01-20
6,Edoardo Zambanini,Team 03,1417,+23:37,19,2001-04-21
7,Gianmarco Garofoli,Team 17,1658,+27:38,27,2002-10-06
8,Gil Gelders,Team 17,1850,+30:50,36,2002-12-16
9,Brieuc Rolland,Team 05,1913,+31:53,41,2003-08-13
10,Diego Pescador,Team 08,1931,+32:11,42,2004-12-21
11,Arnaud De Lie,Team 17,2487,+41:27,47,2002-03-16
12,Guillermo Thomas Silva,Team 14,2509,+41:49,48,2001-12-30
13,Axel Laurance,Team 16,2595,+43:15,51,2001-04-13
14,Anders Foldager,Team 16,2740,+45:40,56,2001-07-27
15,Léo Bisiaux,Team 11,2753,+45:53,57,2005-02-14
16,Carlos Canal,Team 04,2789,+46:29,58,2001-06-28
17,Brady Gilmore,Team 03,2853,+47:33,59,2001-04-14
18,Iván Romeo,Team 07,2864,+47:44,60,2003-08-16
19,Madis Mihkels,Team 20,2889,+48:09,61,2003-05-31
20,Emiel Verstrynge,Team 11,3026,+50:26,68,2002-02-04
21,Antoine L'Hote,Team 15,3038,+50:38,71,2005-05-27
22,Johannes Staune-Mittet,Team 18,3147,+52:27,75,2002-01-18
23,Callum Thornley,Team 09,3152,+52:32,76,2003-08-05
24,Joshua Giddings,Team 05,3324,+55:24,84,2003-07-20
25,Joseph Blackmore,Team 16,3327,+55:27,85,2003-02-23
26,Artem Shmidt,Team 12,3368,+56:08,86,2004-01-30
27,Adrien Boichis,Team 14,3428,+57:08,89,2003-01-02
28,Magnus Sheffield,Team 19,3437,+57:17,90,2002-04-19
29,Albert Withen Philipsen,Team 09,3478,+57:58,91,2006-09-03
30,Alec Segaert,Team 18,3638,+60:38,96,2003-01-16
31,Gal Glivar,Team 07,3723,+62:03,98,2002-05-01
32,Davide Piganzoli,Team 18,3898,+64:58,110,2002-07-08
33,Josh Kench,Team 05,4079,+67:59,113,2001-05-06
34,Jakob Söderqvist,Team 08,4103,+68:23,115,2003-05-31
35,Francesco Busatto,Team 10,4169,+69:29,117,2002-11-01
36,Alexander Hajek,Team 15,4296,+71:36,119,2003-07-19
37,Lars Craps,Team 15,4310,+71:50,120,2001-10-17
38,Adrià Pericas,Team 17,4375,+72:55,121,2006-05-26
39,Alessandro Borgo,Team 01,4590,+76:30,126,2005-02-06
40,Andrea Raccagni Noviero,Team 19,4591,+76:31,127,2004-01-26
41,Alberto Bruttomesso,Team 10,4650,+77:30,128,2003-10-30
42,Davide Toneatti,Team 19,4866,+81:06,132,2001-04-09
43,Jakob Omrzel,Team 16,4894,+81:34,133,2006-03-21
44,Jenno Berckmoes,Team 04,4936,+82:16,135,2001-02-04
45,Olav Kooij,Team 16,4948,+82:28,136,2001-10-17
46,Lennert Belmans,Team 20,4963,+82:43,137,2002-02-15
47,Henri-François Renard-Haquin,Team 15,5111,+85:11,139,2002-12-12
48,Darren Rafferty,Team 12,5173,+86:13,141,2003-07-01
49,Jordan Labrosse,Team 02,5424,+90:24,145,2002-09-15
50,Casper van Uden,Team 19,6102,+101:42,159,2001-07-22
51,Floris Van Tricht,Team 02,6860,+114:20,160,2001-06-23
